source,latitude,longitude,complete_address,archetype,number_stories,year_built_u,occupany_u,building_area_m2,roof_shape_u,construction_type_u,wall_cladding_u,status_u,wind_damage_rating_u,steer_damage_rating,completed_by,front_elevation_orientation,building_urban_setting,building_position_on_street,buidling_height_m
undergrad,38.644361,-90.332731,"441 Oakley Dr, Saint Louis, MO 63105",19,2,1929,residential,125,gable-hip_combo,masonry_un,brick,undamaged,,,Brian,e,isolated,recessed,6.7
undergrad,38.644233,-90.332569,"445 Oakley Dr, Saint Louis, MO 63105",19,2,1928,residential,80,gable,masonry_un,"brick,stucco,wood",undamaged,,,Brian,e,isolated,recessed,7.3
undergrad,38.644308,-90.331944,"452 Edgewood Dr, Saint Louis, MO 63105",19,2,1930,residential,107,gable,masonry_un,"brick,stone,wood",undamaged,,,Brian,w,isolated,recessed,6.8
undergrad,38.644167,-90.332025,"456 Edgewood Dr, Saint Louis, MO 63105",19,2,1929,residential,261,hip,masonry_un,"brick,stucco",undamaged,,,Bri,w,isolated,recessed,5.3
undergrad,38.644033,-90.332081,"460 Edgewood Dr, Saint Louis, MO 63105",19,2,1927,residential,146,gable,masonry_un,"brick,stone,wood,stucco",undamaged,,,Brian,w,isolated,recessed,7
undergrad,38.643797,-90.332275,"468 Edgewood Dr, Saint Louis, MO 63105",19,2,1937,residential,128,gable,masonry_un,"stone,brick",undamaged,,,Brian,w,isolated,recessed,6.5
undergrad,38.643619,-90.332325,"474 Edgewood Dr, Saint Louis, MO 63105",19,2,1928,residential,245,gable,masonry_un,"brick,vinyl",undamaged,,,Brian,w,isolated,recessed,6.4
undergrad,38.643439,-90.332342,"480 Edgewood Dr, Saint Louis, MO 63105",19,2,1931,residential,129,gable,masonry_un,"bric,stone",undamaged,,,Brian,w,isolated,recessed,6.9
undergrad,38.643286,-90.332381,"484 Edgewood Dr, Saint Louis, MO 63105",19,2,1929,residential,134,gable-hip_combo,masonry_un,"brick, stucco",undamaged,,,Bri,w,isolated,recessed,5.9
undergrad,38.643886,-90.334253,"7648 Walinca Ter, Saint Louis, MO 63105",19,2,1927,residential,180,gable,masonry_un,"brick, stucco",undamaged,,,Bri,s,isolated,recessed,6.4
undergrad,38.643856,-90.333928,"7640 Walinca Ter, Saint Louis, MO 63105",19,2,1928,residential,184,gable,masonry_un,"brick, stucco",undamaged,,,Bri,s,isolated,recessed,6.4
undergrad,38.6439,-90.334119,"7644 Walinca Ter, Saint Louis, MO 63105",19,2,1930,residential,277,gable-hip_combo,masonry_un,"brick, stone, wood",undamaged,,,Bri,s,isolated,recessed,6.5
undergrad,38.643856,-90.333739,"7632 Walinca Ter, Saint Louis, MO 63105",19,2,1925,residential,134,gable,masonry_un,"brick,stucco,vinyl",undamaged,,,Brian,n,isolated,recessed,6.6
undergrad,38.643278,-90.333211,"7611 Wydown Blvd, Saint Louis, MO 63105",19,2,1924,residential,249(un),hip,masonry_un,"brick,stucco",undamaged,,,Brian,s,isolated,recessed,6.4
undergrad,38.642806,-90.334472,"7624 Wydown Blvd, Saint Louis, MO 63105",19,2,1930,business,243,flat,masonry_un,"stone,brick",undamaged,,,Brian,n,row_end,right_on_street,6.5
undergrad,38.642281,-90.334861,"618 S Hanley Rd, Saint Louis, MO 63105",19,2,1910,residential,243,hip,masonry_un,"brick,vinyl",undamaged,,,Brian,w,isolated,recessed,6.3
undergrad,38.642133,-90.334883,"622 S Hanley Rd, Saint Louis, MO 63105",19,3,1925,residential,225,flat,masonry_un,"stone,brick",undamaged,,,Brian,w,isolated,recessed,8.3
undergrad,38.641956,-90.334889,"626 S Hanley Rd, Saint Louis, MO 63105",19,2,1935,residential,182,gable,masonry_un,brick,minor_damage,,,Brian,w,isolated,recessed,6.9
undergrad,38.641911,-90.334414,"627 Forest Ct, Saint Louis, MO 63105",19,2,1935,residential,181,gable-hip_combo,masonry_un,brick,minor_damage,,,Brian,e,isolated,recessed,7.8
undergrad,38.642558,-90.333856,"610 Forest Ct, Saint Louis, MO 63105",19,2,1940,residential,397,flat,masonry_un,"stone,brick",undamaged,,,Brian,w,isolated,recessed,5
undergrad,38.642792,-90.333847,"7618 Wydown Blvd, Saint Louis, MO 63105",19,2,1936,business,218,flat,masonry_un,"stone, brick",undamaged,,,Bri,s,row_end,right_on_street,6.9
undergrad,38.642803,-90.333553,"7608 Wydown Blvd, Saint Louis, MO 63105",19,1,1927,business,121,flat,masonry_un,brick,undamaged,,,Bri,s,row_middle,right_on_street,3.3
undergrad,38.641833,-90.333461,"625 Westwood Dr, Saint Louis, MO 63105",19,3,1924,residential,204,flat,masonry_un,"brick,stucco,wood,stone",undamaged,,,Brian,e,isolated,recessed,9.1
undergrad,38.642008,-90.333433,"621 Westwood Dr, Saint Louis, MO 63105",19,3,1925,residential,204,flat,masonry_un,"brick,wood,stone",undamaged,,,Brian,e,isolated,recessed,9.1
undergrad,38.642181,-90.333417,"619 Westwood Dr, Saint Louis, MO 63105",19,3,1924,residential,204,flat,masonry_un,"brick,stucco,wood,stone",undamaged,,,Brian,e,isolated,recessed,9.1
undergrad,38.642667,-90.332731,"7564 Wydown Blvd, Saint Louis, MO 63105",19,3,1941,residential,512,gable,masonry_un,"brick,stone",undamaged,,,Brian,n,isolated,recessed,8.5
undergrad,38.642708,-90.332431,"7556 Wydown Blvd, Saint Louis, MO 63105",19,2,1954,residential,387,gable,masonry_un,"brick, stone",undamaged,,,Bri,s,isolated,recessed,5.8
undergrad,38.642714,-90.332183,"7552 Wydown Blvd, Saint Louis, MO 63105",19,3,1930,residential,301,flat,masonry_un,"brick,stucco,wood,stone",undamaged,,,Brian,n,isolated,recessed,10.2
undergrad,38.642642,-90.331847,"7542 Wydown Blvd, Saint Louis, MO 63105",19,3,1940,residential,554,gable,masonry_un,brick,minor_damage,,,Brian,n,isolated,recessed,10.5
undergrad,38.642664,-90.331408,"7536 Wydown Blvd, Saint Louis, MO 63105",19,3,1940,residential,554,gable,masonry_un,"brick,stone",undamaged,,,Brian,n,isolated,recessed,10.5
undergrad,38.642714,-90.331053,"7526 Wydown Blvd, Saint Louis, MO 63105",19,3,1928,residential,218,flat,masonry_un,"brick,stucco,wood,stone",undamaged,,,Brian,n,isolated,recessed,10.7
undergrad,38.642736,-90.330808,"7520 Wydown Blvd, Saint Louis, MO 63105",19,3,1949,residential,213,gable,masonry_un,brick,undamaged,,,Brian,n,isolated,recessed,6.5
undergrad,38.642725,-90.330503,"7514 Wydown Blvd, Saint Louis, MO 63105",19,2,1927,residential,221,complex,masonry_un,brick,undamaged,,,Alex,n,isolated,recessed,11.2
undergrad,38.642711,-90.330231,"7506 Wydown Blvd, Saint Louis, MO 63105",19,2,1924,residential,269,complex,masonry_un,"stone,stucco",undamaged,,,Brian,n,isolated,recessed,6.8
undergrad,38.642722,-90.329958,"7500 Wydown Blvd, Saint Louis, MO 63105",19,2,1924,residential,103,gable,masonry_un,"brick,stucco",undamaged,,,Brian,n,isolated,recessed,6.6
undergrad,38.642417,-90.332931,"620 Westwood Dr, Saint Louis, MO 63105",19,2,1946,residential,232,gable,masonry_un,brick,undamaged,,,Bri,w,isolated,recessed,8
undergrad,38.642411,-90.332539,"7557 Byron Pl, Saint Louis, MO 63105",19,2,1937,residential,588,hip,masonry_un,brick,undamaged,,,Brian,s,isolated,recessed,8.5
undergrad,38.642417,-90.332094,"7555 Byron Pl, Saint Louis, MO 63105",,,1929,residential,,,,,,,,Brian,,,,
undergrad,38.642406,-90.331619,"7539 Byron Pl, Saint Louis, MO 63105",19,2,1938,residential,500,hip,masonry_un,brick,undamaged,,,Brian,s,isolated,recessed,8.5
undergrad,38.642417,-90.331289,"7531 Byron Pl, Saint Louis, MO 63105",19,2,1938,residential,333,complex,masonry_un,"brick, stone",undamaged,,,Bri,n,isolated,recessed,7.5
undergrad,38.642411,-90.33105,"7525 Byron Pl, Saint Louis, MO 63105",19,2,1938,residential,343,complex,masonry_un,"brick, stone",undamaged,,,Bri,n,isolated,recessed,6.4
undergrad,38.642381,-90.330803,"7521 Byron Pl, Saint Louis, MO 63105",19,3,1928,residential,267,complex,masonry_un,"brick, stone",undamaged,,,Bri,n,isolated,recessed,11.7
undergrad,38.642381,-90.330519,"7511 Byron Pl, Saint Louis, MO 63105",19,2,1957,residential,290,hip,masonry_un,brick,undamaged,,,Bri,n,isolated,recessed,6.4
